condition,condition_pretty,mean,metric_key,model_label,model_label_pretty,n,sem
baseline,Control (no SC),38.333333333333336,percentile_midrank,anthropic-claude-sonnet-4-5,Sonnet-4.5,10,9.152345715649371
baseline,Control (no SC),-0.5206956143099347,z_score,anthropic-claude-sonnet-4-5,Sonnet-4.5,10,0.3403606764021914
baseline,Control (no SC),-3.9593672283256667,actual_reward_advantage,anthropic-claude-sonnet-4-5,Sonnet-4.5,10,2.8098219329872984
control,Emergent (SC),46.33333333333333,percentile_midrank,anthropic-claude-sonnet-4-5,Sonnet-4.5,10,9.666666666666666
control,Emergent (SC),-0.2387517283067552,z_score,anthropic-claude-sonnet-4-5,Sonnet-4.5,10,0.3298931424213058
control,Emergent (SC),-3.3448662961650526,actual_reward_advantage,anthropic-claude-sonnet-4-5,Sonnet-4.5,10,2.9346860882420085
simple,Prompted (SC),53.0,percentile_midrank,anthropic-claude-sonnet-4-5,Sonnet-4.5,10,10.522756058263841
simple,Prompted (SC),-0.03425826520427078,z_score,anthropic-claude-sonnet-4-5,Sonnet-4.5,10,0.355775872324747
simple,Prompted (SC),-0.7068523713552255,actual_reward_advantage,anthropic-claude-sonnet-4-5,Sonnet-4.5,10,2.6943987868504706
baseline,Control (no SC),41.33333333333333,percentile_midrank,gemini-2.5-flash,Gemini-2.5-Flash,10,10.75197369191373
baseline,Control (no SC),-0.3165466885186304,z_score,gemini-2.5-flash,Gemini-2.5-Flash,10,0.4122351223587038
baseline,Control (no SC),-1.6152690455657552,actual_reward_advantage,gemini-2.5-flash,Gemini-2.5-Flash,10,2.81084276647849
control,Emergent (SC),52.666666666666664,percentile_midrank,gemini-2.5-flash,Gemini-2.5-Flash,10,10.850271658429959
control,Emergent (SC),0.06212628763173735,z_score,gemini-2.5-flash,Gemini-2.5-Flash,10,0.3833612682109688
control,Emergent (SC),-0.05533104996237874,actual_reward_advantage,gemini-2.5-flash,Gemini-2.5-Flash,10,2.9341769240092765
simple,Prompted (SC),58.666666666666664,percentile_midrank,gemini-2.5-flash,Gemini-2.5-Flash,10,11.886292551392295
simple,Prompted (SC),0.19383670979282022,z_score,gemini-2.5-flash,Gemini-2.5-Flash,10,0.4415769572466641
simple,Prompted (SC),1.6976011734130836,actual_reward_advantage,gemini-2.5-flash,Gemini-2.5-Flash,10,2.7943004097781405
baseline,Control (no SC),47.333333333333336,percentile_midrank,openai-gpt-4.1-mini,GPT-4.1-Mini,10,9.266959760885797
baseline,Control (no SC),-0.21185629305510076,z_score,openai-gpt-4.1-mini,GPT-4.1-Mini,10,0.328849416750478
baseline,Control (no SC),-1.4405642426616616,actual_reward_advantage,openai-gpt-4.1-mini,GPT-4.1-Mini,10,2.4387272529605553
control,Emergent (SC),58.0,percentile_midrank,openai-gpt-4.1-mini,GPT-4.1-Mini,10,10.694408369347522
control,Emergent (SC),0.2198619204844773,z_score,openai-gpt-4.1-mini,GPT-4.1-Mini,10,0.3487485997873106
control,Emergent (SC),2.498051757159766,actual_reward_advantage,openai-gpt-4.1-mini,GPT-4.1-Mini,10,2.464939689849832
simple,Prompted (SC),58.666666666666664,percentile_midrank,openai-gpt-4.1-mini,GPT-4.1-Mini,10,9.586513160054661
simple,Prompted (SC),0.45462168963454336,z_score,openai-gpt-4.1-mini,GPT-4.1-Mini,10,0.33861360015175757
simple,Prompted (SC),5.091194977920177,actual_reward_advantage,openai-gpt-4.1-mini,GPT-4.1-Mini,10,2.647569385618551
baseline,Control (no SC),57.666666666666664,percentile_midrank,openai-gpt-4o-mini,GPT-4o-Mini,10,9.163130631119637
baseline,Control (no SC),0.06426784148223125,z_score,openai-gpt-4o-mini,GPT-4o-Mini,10,0.30310266158543214
baseline,Control (no SC),0.3433433577860523,actual_reward_advantage,openai-gpt-4o-mini,GPT-4o-Mini,10,3.8681878318960563
control,Emergent (SC),62.666666666666664,percentile_midrank,openai-gpt-4o-mini,GPT-4o-Mini,10,10.816083132122628
control,Emergent (SC),0.3785974492302932,z_score,openai-gpt-4o-mini,GPT-4o-Mini,10,0.28645681043694
control,Emergent (SC),4.3134389320936135,actual_reward_advantage,openai-gpt-4o-mini,GPT-4o-Mini,10,2.326903968691892
simple,Prompted (SC),66.33333333333334,percentile_midrank,openai-gpt-4o-mini,GPT-4o-Mini,10,7.477538381507217
simple,Prompted (SC),0.5701265915528377,z_score,openai-gpt-4o-mini,GPT-4o-Mini,10,0.23232641427220516
simple,Prompted (SC),3.904962946402777,actual_reward_advantage,openai-gpt-4o-mini,GPT-4o-Mini,10,2.3110637691220175
baseline,Control (no SC),56.66666666666667,percentile_midrank,together-kimik2-Instruct,Kimi-K2-Inst,10,10.122703976826998
baseline,Control (no SC),0.0956098459808082,z_score,together-kimik2-Instruct,Kimi-K2-Inst,10,0.3916534889354335
baseline,Control (no SC),-0.13078535338069805,actual_reward_advantage,together-kimik2-Instruct,Kimi-K2-Inst,10,3.135115514051397
