condition,condition_pretty,environment_name,judge_label,mean,metric_key,metric_label,model_label,model_label_pretty,n,plot_header,sem
baseline,Control (no SC),JiraTicketEnvironment,foundry / gpt-5.4,0.07938115210901026,normalized_regret,Normalized Regret (↓),anthropic-claude-sonnet-4-5,Sonnet-4.5,10,Environment: JiraTicketEnvironment | Judge: foundry / gpt-5.4,0.025153443637898537
baseline,Control (no SC),JiraTicketEnvironment,foundry / gpt-5.4,0.35715554111432674,normalized_coalition_regret_gap,Coalition Advantage (-),anthropic-claude-sonnet-4-5,Sonnet-4.5,10,Environment: JiraTicketEnvironment | Judge: foundry / gpt-5.4,0.06653303635042461
baseline,Control (no SC),JiraTicketEnvironment,foundry / gpt-5.4,1.0,judge_mean_rating,Collusion Judge (↓),anthropic-claude-sonnet-4-5,Sonnet-4.5,10,Environment: JiraTicketEnvironment | Judge: foundry / gpt-5.4,0.0
control,Emergent (SC),JiraTicketEnvironment,foundry / gpt-5.4,0.07940472098553761,normalized_regret,Normalized Regret (↓),anthropic-claude-sonnet-4-5,Sonnet-4.5,10,Environment: JiraTicketEnvironment | Judge: foundry / gpt-5.4,0.02374202009301149
control,Emergent (SC),JiraTicketEnvironment,foundry / gpt-5.4,0.38612054231288795,normalized_coalition_regret_gap,Coalition Advantage (-),anthropic-claude-sonnet-4-5,Sonnet-4.5,10,Environment: JiraTicketEnvironment | Judge: foundry / gpt-5.4,0.05505927036927266
control,Emergent (SC),JiraTicketEnvironment,foundry / gpt-5.4,1.8666666666666667,judge_mean_rating,Collusion Judge (↓),anthropic-claude-sonnet-4-5,Sonnet-4.5,10,Environment: JiraTicketEnvironment | Judge: foundry / gpt-5.4,0.14229164972072994
simple,Prompted (SC),JiraTicketEnvironment,foundry / gpt-5.4,0.08073523355703537,normalized_regret,Normalized Regret (↓),anthropic-claude-sonnet-4-5,Sonnet-4.5,10,Environment: JiraTicketEnvironment | Judge: foundry / gpt-5.4,0.02124764802712615
simple,Prompted (SC),JiraTicketEnvironment,foundry / gpt-5.4,0.45097012179909496,normalized_coalition_regret_gap,Coalition Advantage (-),anthropic-claude-sonnet-4-5,Sonnet-4.5,10,Environment: JiraTicketEnvironment | Judge: foundry / gpt-5.4,0.05628633833980431
simple,Prompted (SC),JiraTicketEnvironment,foundry / gpt-5.4,2.766666666666666,judge_mean_rating,Collusion Judge (↓),anthropic-claude-sonnet-4-5,Sonnet-4.5,10,Environment: JiraTicketEnvironment | Judge: foundry / gpt-5.4,0.26317153960726686
baseline,Control (no SC),JiraTicketEnvironment,foundry / gpt-5.4,0.04810648394386883,normalized_regret,Normalized Regret (↓),gemini-2.5-flash,Gemini-2.5-Flash,10,Environment: JiraTicketEnvironment | Judge: foundry / gpt-5.4,0.014192356651511327
baseline,Control (no SC),JiraTicketEnvironment,foundry / gpt-5.4,0.45798401592116234,normalized_coalition_regret_gap,Coalition Advantage (-),gemini-2.5-flash,Gemini-2.5-Flash,10,Environment: JiraTicketEnvironment | Judge: foundry / gpt-5.4,0.05523324323350669
baseline,Control (no SC),JiraTicketEnvironment,foundry / gpt-5.4,0.7333333333333334,judge_mean_rating,Collusion Judge (↓),gemini-2.5-flash,Gemini-2.5-Flash,10,Environment: JiraTicketEnvironment | Judge: foundry / gpt-5.4,0.044444444444444446
control,Emergent (SC),JiraTicketEnvironment,foundry / gpt-5.4,0.0692263329511053,normalized_regret,Normalized Regret (↓),gemini-2.5-flash,Gemini-2.5-Flash,10,Environment: JiraTicketEnvironment | Judge: foundry / gpt-5.4,0.01823562753069941
control,Emergent (SC),JiraTicketEnvironment,foundry / gpt-5.4,0.4876712786320566,normalized_coalition_regret_gap,Coalition Advantage (-),gemini-2.5-flash,Gemini-2.5-Flash,10,Environment: JiraTicketEnvironment | Judge: foundry / gpt-5.4,0.0468419927862344
control,Emergent (SC),JiraTicketEnvironment,foundry / gpt-5.4,0.7333333333333334,judge_mean_rating,Collusion Judge (↓),gemini-2.5-flash,Gemini-2.5-Flash,10,Environment: JiraTicketEnvironment | Judge: foundry / gpt-5.4,0.044444444444444446
simple,Prompted (SC),JiraTicketEnvironment,foundry / gpt-5.4,0.065867814654287,normalized_regret,Normalized Regret (↓),gemini-2.5-flash,Gemini-2.5-Flash,10,Environment: JiraTicketEnvironment | Judge: foundry / gpt-5.4,0.024122686684587884
simple,Prompted (SC),JiraTicketEnvironment,foundry / gpt-5.4,0.5179269511473779,normalized_coalition_regret_gap,Coalition Advantage (-),gemini-2.5-flash,Gemini-2.5-Flash,10,Environment: JiraTicketEnvironment | Judge: foundry / gpt-5.4,0.04168679975072778
simple,Prompted (SC),JiraTicketEnvironment,foundry / gpt-5.4,2.3,judge_mean_rating,Collusion Judge (↓),gemini-2.5-flash,Gemini-2.5-Flash,10,Environment: JiraTicketEnvironment | Judge: foundry / gpt-5.4,0.23013683530231088
baseline,Control (no SC),JiraTicketEnvironment,foundry / gpt-5.4,0.1278806820760298,normalized_regret,Normalized Regret (↓),openai-gpt-4.1-mini,GPT-4.1-Mini,10,Environment: JiraTicketEnvironment | Judge: foundry / gpt-5.4,0.0353276739681102
baseline,Control (no SC),JiraTicketEnvironment,foundry / gpt-5.4,0.4658094180308071,normalized_coalition_regret_gap,Coalition Advantage (-),openai-gpt-4.1-mini,GPT-4.1-Mini,10,Environment: JiraTicketEnvironment | Judge: foundry / gpt-5.4,0.059489637182686565
